Time,Average_Speed_kmph
2024-01-01 00:00:00,62.47
2024-01-01 00:05:00,53.75
2024-01-01 00:10:00,50.79
2024-01-01 00:15:00,57.45
2024-01-01 00:20:00,69.19
2024-01-01 00:25:00,64.65
2024-01-01 00:30:00,50.96
2024-01-01 00:35:00,51.05
2024-01-01 00:40:00,58.93
2024-01-01 00:45:00,53.75
2024-01-01 00:50:00,59.78
2024-01-01 00:55:00,56.15
2024-01-01 01:00:00,56.42
2024-01-01 01:05:00,62.46
2024-01-01 01:10:00,52.98
2024-01-01 01:15:00,60.79
2024-01-01 01:20:00,62.94
2024-01-01 01:25:00,57.57
2024-01-01 01:30:00,63.57
2024-01-01 01:35:00,64.59
2024-01-01 01:40:00,64.36
2024-01-01 01:45:00,57.27
2024-01-01 01:50:00,57.05
2024-01-01 01:55:00,55.6
2024-01-01 02:00:00,62.76
2024-01-01 02:05:00,58.77
2024-01-01 02:10:00,65.42
2024-01-01 02:15:00,61.19
2024-01-01 02:20:00,54.78
2024-01-01 02:25:00,59.07
2024-01-01 02:30:00,53.4
2024-01-01 02:35:00,64.42
2024-01-01 02:40:00,64.47
2024-01-01 02:45:00,51.57
2024-01-01 02:50:00,56.49
2024-01-01 02:55:00,58.67
2024-01-01 03:00:00,50.02
2024-01-01 03:05:00,62.57
2024-01-01 03:10:00,62.14
2024-01-01 03:15:00,58.61
2024-01-01 03:20:00,58.99
2024-01-01 03:25:00,52.53
2024-01-01 03:30:00,50.45
2024-01-01 03:35:00,54.37
2024-01-01 03:40:00,63.92
2024-01-01 03:45:00,61.3
2024-01-01 03:50:00,64.0
2024-01-01 03:55:00,54.67
2024-01-01 04:00:00,54.65
2024-01-01 04:05:00,62.54
2024-01-01 04:10:00,56.63
2024-01-01 04:15:00,61.84
2024-01-01 04:20:00,65.52
2024-01-01 04:25:00,59.22
2024-01-01 04:30:00,59.57
2024-01-01 04:35:00,59.82
2024-01-01 04:40:00,55.02
2024-01-01 04:45:00,66.51
2024-01-01 04:50:00,57.74
2024-01-01 04:55:00,54.41
2024-01-01 05:00:00,61.39
2024-01-01 05:05:00,58.7
2024-01-01 05:10:00,50.92
2024-01-01 05:15:00,64.1
2024-01-01 05:20:00,65.01
2024-01-01 05:25:00,68.43
2024-01-01 05:30:00,58.35
2024-01-01 05:35:00,52.09
2024-01-01 05:40:00,61.79
2024-01-01 05:45:00,69.42
2024-01-01 05:50:00,57.62
2024-01-01 05:55:00,63.43
2024-01-01 06:00:00,54.36
2024-01-01 06:05:00,64.64
2024-01-01 06:10:00,64.49
2024-01-01 06:15:00,55.38
2024-01-01 06:20:00,48.59
2024-01-01 06:25:00,62.41
2024-01-01 06:30:00,53.49
2024-01-01 06:35:00,65.49
2024-01-01 06:40:00,56.62
2024-01-01 06:45:00,56.6
2024-01-01 06:50:00,55.8
2024-01-01 06:55:00,63.28
2024-01-01 07:00:00,66.79
2024-01-01 07:05:00,50.67
2024-01-01 07:10:00,58.02
2024-01-01 07:15:00,52.62
2024-01-01 07:20:00,58.24
2024-01-01 07:25:00,69.74
2024-01-01 07:30:00,51.09
2024-01-01 07:35:00,62.03
2024-01-01 07:40:00,59.72
2024-01-01 07:45:00,60.37
2024-01-01 07:50:00,55.29
2024-01-01 07:55:00,48.45
2024-01-01 08:00:00,55.49
2024-01-01 08:05:00,51.06
2024-01-01 08:10:00,51.08
2024-01-01 08:15:00,59.71
2024-01-01 08:20:00,53.5
2024-01-01 08:25:00,53.98
2024-01-01 08:30:00,54.71
2024-01-01 08:35:00,61.96
2024-01-01 08:40:00,46.21
2024-01-01 08:45:00,53.16
2024-01-01 08:50:00,58.44
2024-01-01 08:55:00,53.01
2024-01-01 09:00:00,59.6
2024-01-01 09:05:00,54.28
2024-01-01 09:10:00,58.58
2024-01-01 09:15:00,53.53
2024-01-01 09:20:00,45.0
2024-01-01 09:25:00,54.24
2024-01-01 09:30:00,59.68
2024-01-01 09:35:00,54.41
2024-01-01 09:40:00,57.9
2024-01-01 09:45:00,45.0
2024-01-01 09:50:00,64.62
2024-01-01 09:55:00,60.82
2024-01-01 10:00:00,53.3
